158,MCHP,Microchip Technology Incorporated,1,mchp,,5
159,D,Dominion Energy Inc,1,d,,2
160,MAR,Marriott International Inc. Class A,1,mar,,8
161,CMG,Chipotle Mexican Grill Inc.,1,cmg,,4
162,AZO,AutoZone Inc.,1,azo,,2
163,ADSK,Autodesk Inc.,1,adsk,,5
164,TFC,Truist Financial Corporation,1,tfc,,8
165,PSX,Phillips 66,1,psx,,6
166,MSCI,MSCI Inc. Class A,1,msci,,4
167,OXY,Occidental Petroleum Corporation,1,oxy,,9
168,KMB,Kimberly-Clark Corporation,1,kmb,,1
169,ADM,Archer-Daniels-Midland Company,1,adm,,5
170,TT,Trane Technologies plc,1,tt,,9
171,PH,Parker-Hannifin Corporation,1,ph,,4
172,CTVA,Corteva Inc,1,ctva,,6
173,ANET,Arista Networks Inc.,1,anet,,7
174,IDXX,IDEXX Laboratories Inc.,1,idxx,,7
175,JCI,Johnson Controls International plc,1,jci,,7
176,A,Agilent Technologies Inc.,1,a,,3
177,FTNT,Fortinet Inc.,1,ftnt,,7
178,EXC,Exelon Corporation,1,exc,,5
179,TEL,TE Connectivity Ltd.,1,tel,,6
180,TRV,Travelers Companies Inc.,1,trv,,9
181,MNST,Monster Beverage Corporation,1,mnst,,4
182,ECL,Ecolab Inc.,1,ecl,,2
183,AJG,Arthur J. Gallagher & Co.,1,ajg,,3
184,MET,MetLife Inc.,1,met,,4
185,NUE,Nucor Corporation,1,nue,,6
186,BIIB,Biogen Inc.,1,biib,,6
187,O,Realty Income Corporation,1,o,,12
188,CTAS,Cintas Corporation,1,ctas,,6
189,SYY,Sysco Corporation,1,syy,,12
190,AIG,American International Group Inc.,1,aig,,9
191,CARR,Carrier Global Corp.,1,carr,,8
192,LHX,L3Harris Technologies Inc,1,lhx,,2
193,HLT,Hilton Worldwide Holdings Inc,1,hlt,,12
194,PCAR,PACCAR Inc,1,pcar,,8
195,TDG,TransDigm Group Incorporated,1,tdg,,9
196,CHTR,Charter Communications Inc. Class A,1,chtr,,12
197,NEM,Newmont Corporation,1,nem,,2
198,DOW,Dow Inc.,1,dow,,1
199,AFL,Aflac Incorporated,1,afl,,9
200,IQV,IQVIA Holdings Inc,1,iqv,,8
201,ROST,Ross Stores Inc.,1,rost,,2
202,YUM,Yum! Brands Inc.,1,yum,,4
203,COF,Capital One Financial Corp,1,cof,,7
204,CNC,Centene Corporation,1,cnc,,2
205,XEL,Xcel Energy Inc.,1,xel,,9
206,HSY,Hershey Company,1,hsy,,7
207,SPG,Simon Property Group Inc.,1,spg,,8
208,WMB,Williams Companies Inc.,1,wmb,,9
209,PAYX,Paychex Inc.,1,payx,,4
210,ON,ON Semiconductor Corporation,1,on,,12
211,STZ,Constellation Brands Inc. Class A,1,stz,,1
212,HES,Hess Corporation,1,hes,,3
213,ILMN,Illumina Inc.,1,ilmn,,5
214,OTIS,Otis Worldwide Corporation,1,otis,,2
215,MTD,Mettler-Toledo International Inc.,1,mtd,,8
216,WBD,Warner Bros. Discovery Inc. Series A,1,wbd,,2
217,KMI,Kinder Morgan Inc Class P,1,kmi,,3
218,CMI,Cummins Inc.,1,cmi,,8
219,BK,Bank of New York Mellon Corp,1,bk,,2
220,ED,Consolidated Edison Inc.,1,ed,,7
221,WELL,Welltower Inc.,1,well,,5
222,ROK,Rockwell Automation Inc.,1,rok,,6
223,AME,AMETEK Inc.,1,ame,,5
224,AMP,Ameriprise Financial Inc.,1,amp,,3
225,DVN,Devon Energy Corporation,1,dvn,,5
226,DD,DuPont de Nemours Inc.,1,dd,,8
227,VICI,VICI Properties Inc,1,vici,,8
228,FIS,Fidelity National Information Services Inc.,1,fis,,4
229,RMD,ResMed Inc.,1,rmd,,4
230,KR,Kroger Co.,1,kr,,9
231,GWW,W.W. Grainger Inc.,1,gww,,8
232,CTSH,Cognizant Technology Solutions Corporation Class A,1,ctsh,,6
233,CPRT,Copart Inc.,1,cprt,,1
234,ODFL,Old Dominion Freight Line Inc.,1,odfl,,6
235,FAST,Fastenal Company,1,fast,,9
236,PRU,Prudential Financial Inc.,1,pru,,5
237,DHI,D.R. Horton Inc.,1,dhi,,1
238,EA,Electronic Arts Inc.,1,ea,,3
239,KHC,Kraft Heinz Company,1,khc,,4
240,APTV,Aptiv PLC,1,aptv,,5
241,ALL,Allstate Corporation,1,all,,3
242,KDP,Keurig Dr Pepper Inc.,1,kdp,,7
243,DLTR,Dollar Tree Inc.,1,dltr,,8
244,PPG,PPG Industries Inc.,1,ppg,,12
